type,release_year,year_added,genre_count,desc_length,duration
1,2021,2021.0,2,147,2.0
0,2021,2021.0,1,150,87.0
0,2021,2021.0,2,149,94.0
0,2021,2021.0,2,149,89.0
0,2021,2021.0,3,143,88.0
1,2021,2021.0,2,150,1.0
1,2021,2021.0,2,141,2.0
0,2019,2021.0,3,146,108.0
0,2016,2021.0,2,146,96.0
0,2003,2021.0,3,151,84.0
0,2004,2021.0,3,150,70.0
1,2021,2021.0,2,146,1.0
0,2014,2021.0,3,107,125.0
0,2016,2021.0,3,103,119.0
0,2015,2021.0,3,139,105.0
1,2001,2021.0,3,145,2.0
1,2021,2021.0,3,132,1.0
1,2018,2021.0,3,143,1.0
1,2021,2021.0,3,146,4.0
1,2018,2021.0,3,134,4.0
1,2018,2021.0,1,151,1.0
1,2019,2021.0,2,150,1.0
1,2020,2021.0,1,151,2.0
1,2020,2021.0,3,136,2.0
1,2020,2021.0,3,149,1.0
1,2015,2021.0,3,143,6.0
1,2018,2021.0,2,140,3.0
1,2020,2021.0,3,148,5.0
0,1981,2021.0,3,148,133.0
0,1982,2021.0,3,149,140.0
0,1988,2021.0,3,152,120.0
1,2019,2021.0,3,147,1.0
1,2019,2021.0,1,152,2.0
1,2018,2021.0,3,150,1.0
1,2019,2021.0,3,143,4.0
1,2020,2021.0,1,149,6.0
1,2018,2021.0,3,152,1.0
1,2018,2021.0,3,148,1.0
1,2020,2021.0,1,151,1.0
1,2018,2021.0,2,128,1.0
1,2021,2021.0,2,148,1.0
0,2021,2021.0,2,150,135.0
1,2021,2021.0,3,143,4.0
0,2021,2021.0,1,146,111.0
1,2021,2021.0,3,135,2.0
0,2021,2021.0,3,153,159.0
0,2020,2021.0,3,148,119.0
